B00, 0
B13, Trade, 565.125, 102, B13, S03, 1
B13, Trade, 572.125, 104, B13, S01, 1
B13, Trade, 583.700, 104, B13, S05, 1
B13, Trade, 591.500, 101, B13, S03, 1
B13, Trade, 598.650, 101, B13, S05, 1
B13, Trade, 601.350, 102, B13, S10, 1
B13, Trade, 614.375, 99, B13, S00, 1
B13, Trade, 621.075, 102, B13, S01, 1
B13, Trade, 625.375, 102, B13, S08, 1
B13, Trade, 634.825, 102, B13, S10, 1
B13, Trade, 641.075, 103, B13, S04, 1
B13, Trade, 650.250, 99, B13, S01, 1
B13, Trade, 663.675, 106, B13, S06, 1
B13, Trade, 665.675, 105, B13, S06, 1
B13, Trade, 666.675, 101, S08, B13, 1
B13, Trade, 677.200, 104, B13, S00, 1
B13, Trade, 688.225, 103, B13, S01, 1
B13, Trade, 692.000, 99, S08, B13, 1
B13, Trade, 694.050, 100, B13, S03, 1
B13, Trade, 699.075, 99, B13, S06, 1
B13, Trade, 705.250, 106, B13, S03, 1
B13, Trade, 711.825, 104, B13, S10, 1
B13, Trade, 726.400, 103, B13, S07, 1
B13, Trade, 735.875, 99, B13, S04, 1
B13, Trade, 742.550, 100, B13, S09, 1
B13, Trade, 755.925, 99, B13, S03, 1
B13, Trade, 757.525, 98, B13, S05, 1
B13, Trade, 770.850, 105, B13, S01, 1
B13, Trade, 772.725, 104, B13, S04, 1
B13, Trade, 790.075, 101, S04, B13, 1
B13, Trade, 801.075, 106, B13, S03, 1
B13, Trade, 803.700, 101, S00, B13, 1
B13, Trade, 818.250, 99, B13, S01, 1
B13, Trade, 826.825, 101, S08, B13, 1
B13, Trade, 835.175, 102, B13, S10, 1
B13, Trade, 844.450, 98, S00, B13, 1
B13, Trade, 856.175, 102, B13, S08, 1
B13, Trade, 863.425, 96, B13, S06, 1
B14, 100
B14, Trade, 181.125, 105, B14, S01, 1
B14, Trade, 190.275, 104, B14, S10, 1
B14, Trade, 195.550, 111, B14, S01, 1
